description,disease
"vomiting, diarrhea, dehydration, abdominal cramps",Gastroenteritis
"painful urination, lower abdominal pain, cloudy urine",UTI
"vomiting, dehydration, diarrhea, abdominal cramps",Gastroenteritis
"abdominal cramps, dehydration, diarrhea, vomiting",Gastroenteritis
"loss of appetite, headache, weakness and fatigue",Typhoid
"high fever with chills, body aches",Malaria
"cloudy urine, lower abdominal pain, frequent urge to urinate, painful urination",UTI
"visual disturbances, nausea, throbbing headache",Migraine
"nausea, sweating",Malaria
"headache, loss of appetite, fever for 3 days",Typhoid
"diarrhea, abdominal cramps",Gastroenteritis
"lower abdominal pain, painful urination",UTI
"heartburn after meals, difficulty swallowing, chest pain, acid reflux",GERD
"lower abdominal pain, frequent urge to urinate",UTI
"headache, itchy blister rash, loss of appetite, fever and tiredness",Chickenpox
"loss of appetite, weakness and fatigue, headache",Typhoid
"cloudy urine, lower abdominal pain, painful urination",UTI
"sensitivity to light, visual disturbances",Migraine
"diarrhea, dehydration",Gastroenteritis
"frequent urge to urinate, painful urination",UTI
"nasal congestion, sneezing and itchy eyes, runny nose, skin hives",Allergy
"visual disturbances, sensitivity to light",Migraine
"flaky patches, burning sensation, rash, itchy skin with redness",Fungal Infection
"frequent urge to urinate, lower abdominal pain, painful urination",UTI
"sore throat, cough, nasal congestion",Common Cold
"sneezing and itchy eyes, skin hives",Allergy
"nasal congestion, cough, sore throat, sneezing and runny nose",Common Cold
"heartburn after meals, acid reflux, difficulty swallowing",GERD
"body aches, sweating",Malaria
"nasal congestion, sneezing and runny nose, cough",Common Cold
"cloudy urine, lower abdominal pain, painful urination, frequent urge to urinate",UTI
"abdominal cramps, vomiting, diarrhea, dehydration",Gastroenteritis
"visual disturbances, sensitivity to light, throbbing headache",Migraine
"sneezing and itchy eyes, nasal congestion",Allergy
"nausea, body aches, high fever with chills, sweating",Malaria
"sneezing and itchy eyes, skin hives, nasal congestion",Allergy
"sweating, high fever with chills, body aches, nausea",Malaria
"high fever with chills, body aches, sweating",Malaria
"lower abdominal pain, painful urination, frequent urge to urinate",UTI
"vomiting, abdominal cramps",Gastroenteritis
"frequent urge to urinate, cloudy urine, lower abdominal pain, painful urination",UTI
"sensitivity to light, visual disturbances, nausea",Migraine
"loss of appetite, itchy blister rash",Chickenpox
"sweating, body aches",Malaria
"skin hives, nasal congestion, sneezing and itchy eyes, runny nose",Allergy
"nausea, sweating, high fever with chills",Malaria
"headache, fever for 5 days, weakness and fatigue, loss of appetite",Typhoid
"vomiting, dehydration",Gastroenteritis
"sore throat, nasal congestion",Common Cold
"dehydration, diarrhea, vomiting, abdominal cramps",Gastroenteritis
"flaky patches, itchy skin with redness, burning sensation",Fungal Infection
"rash, flaky patches, itchy skin with redness, burning sensation",Fungal Infection
"fever for 2 days, weakness and fatigue, loss of appetite, headache",Typhoid
"visual disturbances, sensitivity to light, nausea",Migraine
"difficulty swallowing, acid reflux, chest pain, heartburn after meals",GERD
"body aches, high fever with chills",Malaria
"heartburn after meals, difficulty swallowing, acid reflux",GERD
"heartburn after meals, difficulty swallowing",GERD
"abdominal cramps, diarrhea, dehydration, vomiting",Gastroenteritis
"loss of appetite, fever and tiredness, headache",Chickenpox
"difficulty swallowing, acid reflux",GERD
"lower abdominal pain, cloudy urine, frequent urge to urinate",UTI
"vomiting, diarrhea, dehydration, abdominal cramps",Gastroenteritis
"sneezing and runny nose, cough, sore throat, nasal congestion",Common Cold
"headache, fever and tiredness, itchy blister rash, loss of appetite",Chickenpox
"difficulty swallowing, acid reflux, heartburn after meals, chest pain",GERD
"diarrhea, dehydration, abdominal cramps",Gastroenteritis
"painful urination, frequent urge to urinate",UTI
"visual disturbances, nausea",Migraine
"high fever with chills, body aches, nausea, sweating",Malaria
"headache, weakness and fatigue, fever for 5 days",Typhoid
"skin hives, nasal congestion, sneezing and itchy eyes",Allergy
"loss of appetite, fever for 2 days, weakness and fatigue, headache",Typhoid
"chest pain, acid reflux, difficulty swallowing",GERD
"burning sensation, rash, itchy skin with redness, flaky patches",Fungal Infection
"nausea, body aches, high fever with chills",Malaria
"sweating, nausea, high fever with chills",Malaria
"flaky patches, rash, burning sensation",Fungal Infection
"cloudy urine, painful urination, lower abdominal pain",UTI
"skin hives, runny nose, sneezing and itchy eyes, nasal congestion",Allergy
"dehydration, vomiting",Gastroenteritis
"flaky patches, itchy skin with redness, burning sensation, rash",Fungal Infection
"loss of appetite, fever and tiredness, itchy blister rash",Chickenpox
"skin hives, sneezing and itchy eyes, nasal congestion",Allergy
"acid reflux, heartburn after meals, chest pain, difficulty swallowing",GERD
"abdominal cramps, diarrhea, dehydration, vomiting",Gastroenteritis
"vomiting, diarrhea",Gastroenteritis
"flaky patches, rash",Fungal Infection
"nausea, sweating",Malaria
"frequent urge to urinate, lower abdominal pain, painful urination",UTI
"burning sensation, itchy skin with redness, flaky patches, rash",Fungal Infection
"sneezing and runny nose, nasal congestion",Common Cold
"acid reflux, heartburn after meals, difficulty swallowing",GERD
"headache, fever for 3 days, loss of appetite",Typhoid
"loss of appetite, fever for 3 days, weakness and fatigue",Typhoid
"cloudy urine, frequent urge to urinate, lower abdominal pain",UTI
"lower abdominal pain, frequent urge to urinate",UTI
"loss of appetite, weakness and fatigue",Typhoid
"chest pain, heartburn after meals, difficulty swallowing, acid reflux",GERD
"loss of appetite, weakness and fatigue",Typhoid
"dehydration, diarrhea, abdominal cramps",Gastroenteritis
"visual disturbances, nausea, throbbing headache, sensitivity to light",Migraine
"headache, fever for 2 days, loss of appetite, weakness and fatigue",Typhoid
"acid reflux, chest pain, heartburn after meals, difficulty swallowing",GERD
"painful urination, cloudy urine, frequent urge to urinate, lower abdominal pain",UTI
"dehydration, diarrhea",Gastroenteritis
"burning sensation, flaky patches, rash, itchy skin with redness",Fungal Infection
"acid reflux, chest pain, heartburn after meals",GERD
"throbbing headache, sensitivity to light, visual disturbances, nausea",Migraine
"acid reflux, difficulty swallowing, heartburn after meals, chest pain",GERD
"diarrhea, dehydration, abdominal cramps, vomiting",Gastroenteritis
"chest pain, acid reflux, difficulty swallowing",GERD
"sneezing and runny nose, cough, nasal congestion",Common Cold
"diarrhea, vomiting",Gastroenteritis
"rash, burning sensation",Fungal Infection
"heartburn after meals, chest pain, acid reflux, difficulty swallowing",GERD
"skin hives, runny nose, nasal congestion, sneezing and itchy eyes",Allergy
"headache, fever for 5 days",Typhoid
"sneezing and runny nose, sore throat",Common Cold
"weakness and fatigue, headache, loss of appetite, fever for 1 days",Typhoid
"loss of appetite, weakness and fatigue",Typhoid
"nausea, high fever with chills, sweating, body aches",Malaria
"body aches, sweating, nausea",Malaria
"heartburn after meals, chest pain, acid reflux, difficulty swallowing",GERD
"skin hives, runny nose",Allergy
"nausea, body aches, sweating, high fever with chills",Malaria
"flaky patches, itchy skin with redness, rash, burning sensation",Fungal Infection
"frequent urge to urinate, lower abdominal pain",UTI
"lower abdominal pain, cloudy urine, painful urination",UTI
"cough, sneezing and runny nose, nasal congestion",Common Cold
"painful urination, lower abdominal pain",UTI
"itchy blister rash, fever and tiredness, loss of appetite",Chickenpox
"loss of appetite, fever for 5 days, headache",Typhoid
"sore throat, cough",Common Cold
"sweating, high fever with chills",Malaria
"headache, loss of appetite",Chickenpox
"acid reflux, difficulty swallowing, heartburn after meals",GERD
"sneezing and itchy eyes, nasal congestion, runny nose, skin hives",Allergy
"loss of appetite, headache, itchy blister rash, fever and tiredness",Chickenpox
"cloudy urine, frequent urge to urinate",UTI
"runny nose, nasal congestion",Allergy
"loss of appetite, headache",Chickenpox
"sneezing and runny nose, cough, sore throat, nasal congestion",Common Cold
"cough, sore throat",Common Cold
"heartburn after meals, difficulty swallowing, chest pain",GERD
"loss of appetite, fever and tiredness, headache, itchy blister rash",Chickenpox
"throbbing headache, visual disturbances",Migraine
"painful urination, cloudy urine",UTI
"painful urination, cloudy urine",UTI
"nasal congestion, cough, sore throat",Common Cold
"weakness and fatigue, fever for 2 days",Typhoid
"loss of appetite, headache, fever and tiredness, itchy blister rash",Chickenpox
"rash, burning sensation, flaky patches, itchy skin with redness",Fungal Infection
"loss of appetite, fever and tiredness, headache",Chickenpox
"nausea, high fever with chills, sweating",Malaria
"nausea, visual disturbances",Migraine
"sweating, nausea, high fever with chills, body aches",Malaria
"sneezing and runny nose, cough, nasal congestion, sore throat",Common Cold
"nausea, high fever with chills",Malaria
"nausea, high fever with chills, body aches, sweating",Malaria
"loss of appetite, headache",Chickenpox
"sneezing and itchy eyes, skin hives, runny nose",Allergy
"lower abdominal pain, frequent urge to urinate, cloudy urine, painful urination",UTI
"loss of appetite, itchy blister rash",Chickenpox
"heartburn after meals, difficulty swallowing, acid reflux, chest pain",GERD
"loss of appetite, fever for 2 days, headache, weakness and fatigue",Typhoid
"cloudy urine, lower abdominal pain",UTI
"itchy skin with redness, flaky patches, burning sensation",Fungal Infection
"headache, loss of appetite, fever for 2 days",Typhoid
"nasal congestion, sneezing and itchy eyes",Allergy
"burning sensation, flaky patches, itchy skin with redness",Fungal Infection
"cough, sneezing and runny nose, sore throat, nasal congestion",Common Cold
"fever for 4 days, loss of appetite, headache",Typhoid
"heartburn after meals, chest pain, acid reflux, difficulty swallowing",GERD
"chest pain, acid reflux, difficulty swallowing",GERD
"painful urination, cloudy urine, frequent urge to urinate, lower abdominal pain",UTI
"high fever with chills, body aches, nausea, sweating",Malaria
"nausea, body aches",Malaria
"painful urination, cloudy urine",UTI
"runny nose, nasal congestion, skin hives",Allergy
"chest pain, difficulty swallowing, acid reflux, heartburn after meals",GERD
"lower abdominal pain, painful urination, frequent urge to urinate",UTI
"dehydration, diarrhea, vomiting",Gastroenteritis
"painful urination, lower abdominal pain, frequent urge to urinate, cloudy urine",UTI
"loss of appetite, headache, fever for 5 days, weakness and fatigue",Typhoid
"cough, nasal congestion, sore throat",Common Cold
"runny nose, nasal congestion",Allergy
"lower abdominal pain, cloudy urine, frequent urge to urinate",UTI
"abdominal cramps, diarrhea, dehydration, vomiting",Gastroenteritis
"abdominal cramps, diarrhea",Gastroenteritis
"throbbing headache, nausea, visual disturbances, sensitivity to light",Migraine
"runny nose, sneezing and itchy eyes, skin hives, nasal congestion",Allergy
"acid reflux, chest pain, heartburn after meals, difficulty swallowing",GERD
"burning sensation, rash, itchy skin with redness, flaky patches",Fungal Infection
"sneezing and itchy eyes, nasal congestion",Allergy
"flaky patches, rash, burning sensation",Fungal Infection
"diarrhea, dehydration",Gastroenteritis
"cough, sneezing and runny nose",Common Cold
"nasal congestion, runny nose",Allergy
"nasal congestion, sneezing and runny nose, cough",Common Cold
"itchy skin with redness, flaky patches",Fungal Infection
"sweating, body aches, nausea, high fever with chills",Malaria
"abdominal cramps, diarrhea, vomiting",Gastroenteritis
"itchy skin with redness, rash, burning sensation, flaky patches",Fungal Infection
"throbbing headache, nausea, sensitivity to light",Migraine
"body aches, nausea, high fever with chills",Malaria
"rash, flaky patches, burning sensation, itchy skin with redness",Fungal Infection
"sweating, nausea, body aches, high fever with chills",Malaria
"loss of appetite, headache",Chickenpox
"dehydration, diarrhea, vomiting, abdominal cramps",Gastroenteritis
"headache, weakness and fatigue, loss of appetite",Typhoid
"burning sensation, flaky patches",Fungal Infection
"nasal congestion, runny nose",Allergy
"itchy skin with redness, rash",Fungal Infection
"body aches, sweating",Malaria
"body aches, nausea, sweating",Malaria
"frequent urge to urinate, cloudy urine, painful urination, lower abdominal pain",UTI
"throbbing headache, sensitivity to light, nausea, visual disturbances",Migraine
"sore throat, cough, sneezing and runny nose, nasal congestion",Common Cold
"acid reflux, chest pain, difficulty swallowing, heartburn after meals",GERD
"sneezing and itchy eyes, nasal congestion, runny nose, skin hives",Allergy
"diarrhea, abdominal cramps, dehydration, vomiting",Gastroenteritis
"sweating, high fever with chills, body aches, nausea",Malaria
"nasal congestion, skin hives, runny nose",Allergy
"nausea, visual disturbances, throbbing headache, sensitivity to light",Migraine
"vomiting, diarrhea, dehydration",Gastroenteritis
"nasal congestion, runny nose, skin hives, sneezing and itchy eyes",Allergy
"runny nose, nasal congestion",Allergy
"chest pain, acid reflux",GERD
"runny nose, skin hives, nasal congestion, sneezing and itchy eyes",Allergy
"sneezing and itchy eyes, runny nose",Allergy
"sweating, high fever with chills, body aches",Malaria
"dehydration, diarrhea, abdominal cramps",Gastroenteritis
"itchy skin with redness, burning sensation, rash",Fungal Infection
"runny nose, skin hives, nasal congestion",Allergy
"cloudy urine, painful urination, frequent urge to urinate",UTI
"itchy skin with redness, rash, flaky patches, burning sensation",Fungal Infection
"sweating, nausea, body aches, high fever with chills",Malaria
"runny nose, sneezing and itchy eyes",Allergy
"nausea, visual disturbances",Migraine
"cough, sore throat, nasal congestion, sneezing and runny nose",Common Cold
"loss of appetite, itchy blister rash, headache, fever and tiredness",Chickenpox
"body aches, high fever with chills, sweating, nausea",Malaria
"weakness and fatigue, loss of appetite, headache, fever for 3 days",Typhoid
"abdominal cramps, dehydration, diarrhea, vomiting",Gastroenteritis
"nasal congestion, sneezing and runny nose, cough",Common Cold
"cough, sneezing and runny nose, sore throat, nasal congestion",Common Cold
"loss of appetite, headache",Chickenpox
"sweating, body aches",Malaria
"throbbing headache, nausea, visual disturbances, sensitivity to light",Migraine
"loss of appetite, fever and tiredness, headache",Chickenpox
"cloudy urine, lower abdominal pain",UTI
"acid reflux, difficulty swallowing",GERD
"high fever with chills, nausea, body aches",Malaria
"heartburn after meals, difficulty swallowing, chest pain",GERD
"sweating, nausea, high fever with chills",Malaria
"rash, itchy skin with redness, burning sensation",Fungal Infection
"nasal congestion, sneezing and itchy eyes, skin hives",Allergy
"loss of appetite, fever and tiredness, itchy blister rash",Chickenpox
"body aches, sweating, high fever with chills",Malaria
"high fever with chills, sweating, nausea",Malaria
"flaky patches, rash",Fungal Infection
"painful urination, cloudy urine",UTI
"weakness and fatigue, loss of appetite, headache, fever for 4 days",Typhoid
"painful urination, cloudy urine",UTI
"difficulty swallowing, acid reflux, heartburn after meals, chest pain",GERD
"nasal congestion, sneezing and runny nose",Common Cold
"nausea, throbbing headache, visual disturbances",Migraine
"headache, loss of appetite, weakness and fatigue, fever for 2 days",Typhoid
"sensitivity to light, visual disturbances, nausea",Migraine
"sweating, nausea",Malaria
"headache, itchy blister rash, loss of appetite, fever and tiredness",Chickenpox
"difficulty swallowing, chest pain, acid reflux, heartburn after meals",GERD
"fever and tiredness, loss of appetite, headache, itchy blister rash",Chickenpox
"cough, sneezing and runny nose, sore throat, nasal congestion",Common Cold
"nasal congestion, skin hives, sneezing and itchy eyes, runny nose",Allergy
"headache, fever and tiredness",Chickenpox
"sensitivity to light, throbbing headache",Migraine
"diarrhea, vomiting",Gastroenteritis
"cloudy urine, painful urination",UTI
"skin hives, runny nose, nasal congestion, sneezing and itchy eyes",Allergy
"fever and tiredness, itchy blister rash",Chickenpox
"loss of appetite, headache",Chickenpox
"nausea, body aches",Malaria
"flaky patches, itchy skin with redness",Fungal Infection
"nausea, body aches",Malaria
"body aches, sweating",Malaria
"flaky patches, rash, itchy skin with redness",Fungal Infection
"sweating, body aches, high fever with chills",Malaria
"fever for 3 days, headache, loss of appetite, weakness and fatigue",Typhoid
"fever and tiredness, itchy blister rash",Chickenpox
"difficulty swallowing, heartburn after meals",GERD
"nausea, sensitivity to light, throbbing headache, visual disturbances",Migraine
"abdominal cramps, diarrhea, dehydration",Gastroenteritis
"flaky patches, itchy skin with redness",Fungal Infection
"rash, itchy skin with redness",Fungal Infection
"fever and tiredness, itchy blister rash, loss of appetite",Chickenpox
"fever for 5 days, loss of appetite, headache",Typhoid
"fever for 4 days, loss of appetite, weakness and fatigue",Typhoid
"loss of appetite, weakness and fatigue, headache, fever for 5 days",Typhoid
"lower abdominal pain, painful urination",UTI
"runny nose, sneezing and itchy eyes, skin hives, nasal congestion",Allergy
"sore throat, sneezing and runny nose, nasal congestion, cough",Common Cold
"nasal congestion, skin hives",Allergy
"frequent urge to urinate, painful urination",UTI
"throbbing headache, sensitivity to light, nausea, visual disturbances",Migraine
"fever for 2 days, weakness and fatigue, loss of appetite",Typhoid
"frequent urge to urinate, painful urination, cloudy urine",UTI
"itchy blister rash, fever and tiredness",Chickenpox
"difficulty swallowing, chest pain",GERD
"lower abdominal pain, frequent urge to urinate, painful urination, cloudy urine",UTI
"flaky patches, itchy skin with redness, rash",Fungal Infection
"sweating, body aches",Malaria
"frequent urge to urinate, painful urination, lower abdominal pain, cloudy urine",UTI
"dehydration, diarrhea",Gastroenteritis
"chest pain, acid reflux, difficulty swallowing",GERD
"runny nose, skin hives, nasal congestion",Allergy
"dehydration, vomiting, abdominal cramps",Gastroenteritis
"vomiting, dehydration, diarrhea, abdominal cramps",Gastroenteritis
"nausea, body aches, high fever with chills",Malaria
"sweating, nausea",Malaria
"loss of appetite, weakness and fatigue",Typhoid
"vomiting, diarrhea, abdominal cramps",Gastroenteritis
"difficulty swallowing, chest pain",GERD
"runny nose, sneezing and itchy eyes, nasal congestion",Allergy
"vomiting, abdominal cramps, diarrhea",Gastroenteritis
"runny nose, nasal congestion, sneezing and itchy eyes, skin hives",Allergy
"painful urination, cloudy urine, lower abdominal pain, frequent urge to urinate",UTI
"nausea, visual disturbances",Migraine
"itchy blister rash, fever and tiredness, headache, loss of appetite",Chickenpox
"itchy blister rash, loss of appetite, fever and tiredness, headache",Chickenpox
"runny nose, nasal congestion",Allergy
"sweating, body aches, nausea",Malaria
"fever and tiredness, loss of appetite",Chickenpox
"fever for 3 days, loss of appetite",Typhoid
"body aches, high fever with chills",Malaria
"skin hives, sneezing and itchy eyes, nasal congestion, runny nose",Allergy
"nasal congestion, skin hives",Allergy
"sensitivity to light, visual disturbances, throbbing headache",Migraine
"burning sensation, flaky patches",Fungal Infection
"cough, sneezing and runny nose, sore throat, nasal congestion",Common Cold
"acid reflux, heartburn after meals, difficulty swallowing",GERD
"loss of appetite, fever for 2 days, weakness and fatigue",Typhoid
"painful urination, frequent urge to urinate",UTI
"acid reflux, difficulty swallowing",GERD
"abdominal cramps, vomiting, diarrhea",Gastroenteritis
"loss of appetite, headache, weakness and fatigue, fever for 5 days",Typhoid
"sneezing and runny nose, sore throat, cough, nasal congestion",Common Cold
"runny nose, nasal congestion",Allergy
"rash, itchy skin with redness",Fungal Infection
"loss of appetite, headache, weakness and fatigue, fever for 1 days",Typhoid
"heartburn after meals, acid reflux, difficulty swallowing",GERD
"fever and tiredness, loss of appetite",Chickenpox
"burning sensation, flaky patches, rash",Fungal Infection
"acid reflux, chest pain, heartburn after meals",GERD
"visual disturbances, nausea, throbbing headache",Migraine
"cough, nasal congestion, sore throat",Common Cold
"nausea, body aches, sweating",Malaria
"body aches, sweating, high fever with chills",Malaria
"high fever with chills, sweating, body aches",Malaria
"vomiting, dehydration, abdominal cramps",Gastroenteritis
"chest pain, difficulty swallowing, acid reflux, heartburn after meals",GERD
"rash, flaky patches, burning sensation",Fungal Infection
"heartburn after meals, difficulty swallowing",GERD
"runny nose, skin hives, sneezing and itchy eyes, nasal congestion",Allergy
"nausea, sweating",Malaria
"vomiting, diarrhea, abdominal cramps, dehydration",Gastroenteritis
"painful urination, frequent urge to urinate, lower abdominal pain",UTI
"skin hives, nasal congestion, runny nose",Allergy
"headache, itchy blister rash, fever and tiredness, loss of appetite",Chickenpox
"itchy blister rash, headache, fever and tiredness, loss of appetite",Chickenpox
"vomiting, abdominal cramps, diarrhea, dehydration",Gastroenteritis
"headache, fever for 4 days, loss of appetite",Typhoid
"sweating, body aches",Malaria
"nasal congestion, cough",Common Cold
"headache, itchy blister rash, fever and tiredness",Chickenpox
"headache, itchy blister rash, loss of appetite, fever and tiredness",Chickenpox
"dehydration, abdominal cramps, vomiting",Gastroenteritis
"itchy blister rash, headache",Chickenpox
"burning sensation, rash, itchy skin with redness",Fungal Infection
"sneezing and itchy eyes, nasal congestion",Allergy
"lower abdominal pain, frequent urge to urinate, painful urination, cloudy urine",UTI
"frequent urge to urinate, lower abdominal pain",UTI
"sneezing and runny nose, sore throat, nasal congestion",Common Cold
"acid reflux, chest pain, difficulty swallowing, heartburn after meals",GERD
"visual disturbances, nausea, sensitivity to light, throbbing headache",Migraine
"chest pain, acid reflux, difficulty swallowing",GERD
"nasal congestion, sneezing and runny nose",Common Cold
"nasal congestion, runny nose",Allergy
"dehydration, abdominal cramps, vomiting",Gastroenteritis
"cloudy urine, frequent urge to urinate, painful urination",UTI
"sweating, high fever with chills, nausea",Malaria
"sweating, nausea, high fever with chills, body aches",Malaria
"abdominal cramps, vomiting",Gastroenteritis
"burning sensation, rash, flaky patches",Fungal Infection
"heartburn after meals, difficulty swallowing, acid reflux",GERD
"visual disturbances, throbbing headache, nausea, sensitivity to light",Migraine
"chest pain, acid reflux, difficulty swallowing",GERD
"sore throat, sneezing and runny nose, cough, nasal congestion",Common Cold
"painful urination, lower abdominal pain, frequent urge to urinate",UTI
"heartburn after meals, difficulty swallowing",GERD
"body aches, high fever with chills, sweating, nausea",Malaria
"sensitivity to light, throbbing headache",Migraine
"body aches, sweating, high fever with chills",Malaria
"itchy skin with redness, flaky patches, burning sensation, rash",Fungal Infection
"sensitivity to light, visual disturbances, throbbing headache, nausea",Migraine
"sneezing and itchy eyes, runny nose, skin hives",Allergy
"vomiting, dehydration, abdominal cramps, diarrhea",Gastroenteritis
"lower abdominal pain, frequent urge to urinate, cloudy urine",UTI
"sensitivity to light, nausea",Migraine
"loss of appetite, weakness and fatigue",Typhoid
"diarrhea, vomiting, dehydration",Gastroenteritis
"high fever with chills, sweating, nausea",Malaria
"itchy blister rash, headache, loss of appetite, fever and tiredness",Chickenpox
"throbbing headache, sensitivity to light, nausea, visual disturbances",Migraine
"vomiting, diarrhea, dehydration, abdominal cramps",Gastroenteritis
"diarrhea, abdominal cramps",Gastroenteritis
"heartburn after meals, acid reflux, difficulty swallowing",GERD
"loss of appetite, fever for 2 days",Typhoid
"throbbing headache, nausea, visual disturbances",Migraine
"runny nose, skin hives",Allergy
"chest pain, difficulty swallowing, acid reflux",GERD
"throbbing headache, visual disturbances, nausea",Migraine
"sensitivity to light, visual disturbances",Migraine
"diarrhea, vomiting, abdominal cramps",Gastroenteritis
"nausea, sweating",Malaria
"heartburn after meals, acid reflux",GERD
"skin hives, nasal congestion, runny nose, sneezing and itchy eyes",Allergy
"chest pain, heartburn after meals, difficulty swallowing",GERD
"nasal congestion, cough, sore throat",Common Cold
"dehydration, diarrhea, abdominal cramps",Gastroenteritis
"itchy blister rash, headache, loss of appetite, fever and tiredness",Chickenpox
"weakness and fatigue, loss of appetite, fever for 1 days, headache",Typhoid
"headache, itchy blister rash, fever and tiredness, loss of appetite",Chickenpox
"nasal congestion, sneezing and itchy eyes, skin hives",Allergy
"runny nose, sneezing and itchy eyes, nasal congestion, skin hives",Allergy
"cloudy urine, lower abdominal pain, painful urination",UTI
"loss of appetite, headache",Typhoid
"diarrhea, abdominal cramps, vomiting",Gastroenteritis
"headache, fever and tiredness, loss of appetite",Chickenpox
"chest pain, acid reflux",GERD
"skin hives, sneezing and itchy eyes, runny nose",Allergy
"fever and tiredness, headache, loss of appetite, itchy blister rash",Chickenpox
"sweating, nausea",Malaria
"nausea, visual disturbances, throbbing headache",Migraine
"nasal congestion, runny nose, sneezing and itchy eyes",Allergy
"sensitivity to light, nausea, throbbing headache",Migraine
"body aches, nausea",Malaria
"painful urination, lower abdominal pain, cloudy urine, frequent urge to urinate",UTI
"abdominal cramps, vomiting, diarrhea, dehydration",Gastroenteritis
"runny nose, skin hives",Allergy
"headache, weakness and fatigue, fever for 4 days, loss of appetite",Typhoid
"headache, loss of appetite",Typhoid
"flaky patches, rash, itchy skin with redness",Fungal Infection
"itchy skin with redness, flaky patches, rash",Fungal Infection
"loss of appetite, fever for 1 days",Typhoid
"rash, itchy skin with redness, flaky patches",Fungal Infection
"nausea, sensitivity to light, visual disturbances",Migraine
"visual disturbances, sensitivity to light, throbbing headache",Migraine
"body aches, sweating, nausea",Malaria
"sensitivity to light, nausea",Migraine
"fever for 4 days, loss of appetite, headache",Typhoid
"acid reflux, difficulty swallowing",GERD
"flaky patches, burning sensation, itchy skin with redness",Fungal Infection
"flaky patches, rash",Fungal Infection
"frequent urge to urinate, painful urination, lower abdominal pain",UTI
"flaky patches, burning sensation, itchy skin with redness",Fungal Infection
"body aches, sweating, nausea, high fever with chills",Malaria
"nausea, visual disturbances, throbbing headache",Migraine
"frequent urge to urinate, painful urination",UTI
"fever for 5 days, weakness and fatigue, loss of appetite",Typhoid
"rash, burning sensation, itchy skin with redness, flaky patches",Fungal Infection
"vomiting, dehydration, diarrhea, abdominal cramps",Gastroenteritis
"rash, itchy skin with redness, flaky patches",Fungal Infection
"rash, flaky patches, burning sensation",Fungal Infection
"sore throat, nasal congestion, sneezing and runny nose, cough",Common Cold
"body aches, sweating",Malaria
"dehydration, vomiting, abdominal cramps, diarrhea",Gastroenteritis
"loss of appetite, headache, weakness and fatigue",Typhoid
"high fever with chills, body aches, sweating, nausea",Malaria
"flaky patches, rash, burning sensation, itchy skin with redness",Fungal Infection
"acid reflux, difficulty swallowing, chest pain, heartburn after meals",GERD
"body aches, sweating, nausea, high fever with chills",Malaria
"skin hives, runny nose, nasal congestion",Allergy
"nausea, body aches, sweating",Malaria
"rash, flaky patches, burning sensation, itchy skin with redness",Fungal Infection
"chest pain, acid reflux",GERD
"sweating, nausea, high fever with chills, body aches",Malaria
"chest pain, difficulty swallowing",GERD
"abdominal cramps, vomiting, dehydration",Gastroenteritis
"sore throat, cough",Common Cold
"vomiting, dehydration, abdominal cramps",Gastroenteritis
"abdominal cramps, dehydration, diarrhea, vomiting",Gastroenteritis
"loss of appetite, fever for 5 days, headache, weakness and fatigue",Typhoid
"sore throat, nasal congestion",Common Cold
"frequent urge to urinate, cloudy urine",UTI
"nausea, visual disturbances",Migraine
"visual disturbances, sensitivity to light",Migraine
"abdominal cramps, dehydration",Gastroenteritis
"frequent urge to urinate, painful urination, cloudy urine, lower abdominal pain",UTI
"nasal congestion, sneezing and itchy eyes, runny nose, skin hives",Allergy
"fever for 5 days, weakness and fatigue, headache, loss of appetite",Typhoid
"loss of appetite, headache, fever for 2 days, weakness and fatigue",Typhoid
"headache, fever for 3 days",Typhoid
"headache, fever for 5 days, weakness and fatigue",Typhoid
"chest pain, acid reflux, difficulty swallowing",GERD
"loss of appetite, weakness and fatigue",Typhoid
"runny nose, skin hives",Allergy
"chest pain, heartburn after meals, acid reflux",GERD
"nausea, throbbing headache",Migraine
"heartburn after meals, difficulty swallowing, chest pain, acid reflux",GERD
"sore throat, nasal congestion, cough, sneezing and runny nose",Common Cold
"weakness and fatigue, loss of appetite, headache, fever for 3 days",Typhoid
"weakness and fatigue, fever for 1 days",Typhoid
"cough, sore throat, sneezing and runny nose, nasal congestion",Common Cold
"runny nose, skin hives, nasal congestion",Allergy
"fever for 5 days, headache",Typhoid
"acid reflux, heartburn after meals, chest pain, difficulty swallowing",GERD
"itchy blister rash, headache, loss of appetite",Chickenpox
"high fever with chills, sweating, body aches, nausea",Malaria
"cough, nasal congestion, sore throat",Common Cold
"sneezing and itchy eyes, skin hives, nasal congestion",Allergy
"itchy skin with redness, burning sensation",Fungal Infection
"nausea, sweating, high fever with chills, body aches",Malaria
"fever and tiredness, itchy blister rash",Chickenpox
"throbbing headache, visual disturbances, sensitivity to light",Migraine
"nasal congestion, runny nose, sneezing and itchy eyes",Allergy
"vomiting, abdominal cramps, dehydration",Gastroenteritis
"nasal congestion, sneezing and runny nose",Common Cold
"lower abdominal pain, cloudy urine, painful urination",UTI
"flaky patches, itchy skin with redness",Fungal Infection
"cloudy urine, frequent urge to urinate",UTI
"loss of appetite, headache",Chickenpox
"itchy skin with redness, burning sensation",Fungal Infection
"fever and tiredness, loss of appetite",Chickenpox
